Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Week_days,Time_Orderd_Hours,Time_Orderd_Minutes,Time_Order_picked_Hours,Time_Order_picked_Minutes,Distance_Resturant_to_Location
25.0,4.1,Fog,Medium,1,Drinks,scooter,0.0,No,Metropolitian,38,Tuesday,18,40,18,50,16.601046189403373
39.0,4.6,Windy,Medium,0,Meal,motorcycle,0.0,No,Urban,35,Saturday,18,30,18,45,7.862668167410368
28.0,4.7,Sandstorms,Low,1,Meal,motorcycle,0.0,No,Urban,12,Tuesday,23,20,23,25,7.549092417510471
23.0,4.7,Sandstorms,Low,2,Snack,electric_scooter,0.0,No,Urban,11,Tuesday,8,35,8,50,1.5545771256173964
30.0,4.7,Sunny,Low,2,Meal,scooter,0.0,No,Metropolitian,12,Sunday,8,20,8,35,3.121318846633575
39.0,4.6,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,46,Friday,17,20,17,30,11.00773476374462
26.0,3.3,Sunny,Low,1,Buffet,scooter,2.0,No,Metropolitian,39,Wednesday,22,55,23,5,16.11367273137103
39.0,4.9,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,29,Monday,9,40,9,55,1.514792735566484
26.0,4.5,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,15,Sunday,23,20,23,35,7.683253857182166
36.0,4.8,Sandstorms,Jam,1,Buffet,scooter,0.0,No,Metropolitian,27,Thursday,19,30,19,35,12.099896960230076
22.0,4.8,Sandstorms,Jam,1,Buffet,scooter,0.0,No,Metropolitian,16,Saturday,19,45,19,50,9.05586019430546
28.0,4.8,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,37,Thursday,18,25,18,40,17.29786575291325
34.0,4.2,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,46,Friday,21,45,21,55,4.674341511234465
32.0,4.6,Windy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,38,Tuesday,21,30,21,35,7.862668167410368
25.0,4.6,Fog,Jam,0,Snack,motorcycle,1.0,No,Urban,28,Wednesday,19,50,19,55,4.528162065607132
34.0,4.7,Sunny,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,33,Tuesday,21,35,21,40,10.58713106938149
